"ID","Etat","Département","Station","Longitude","Latitude","Elevation","Derniere_Activite","Source","Code","Licence","URL_Licence"
"00032","FR","82","Bressols",1.33333,43.9667,92,"2021-05-23T06:30:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00033","FR","37","Véretz",0.8,47.3667,50,"2025-11-16T15:10:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00034","FR","26","Tulette",4.93333,44.2833,120,"2025-10-21T21:30:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00035","FR","26","Rochegude",4.8297,44.25,107,"2021-09-26T04:00:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00038","FR","85","Fontenay-le-Comte",-0.81667,46.46667,43,"2021-07-09T08:30:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00039","FR","38","Le-Péage-de-Roussillon - Plateau de Louze",4.7969,45.3756,256,"0000-00-00T00:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00041","FR","22","Lamballe",-2.51667,48.42667,55,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00042","FR","45","Sandillon",2.0339,47.8456,100,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00047","FR","29","Plabennec",-4.425,48.5033,80,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00049","FR","48","Saint-Symphorien - Verrières",3.6256,44.84,1220,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00051","FR","17","Cramchaban",-0.722149,46.2193,10,"0000-00-00T00:00:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00052","FR","59","Armentières",2.8767,50.6886,16,"2025-06-10T05:50:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
