station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0209,2025-01-01 10:50:00,5.6,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 11:00:00,5.6,,,37,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 11:10:00,5.7,,,36,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 11:20:00,5.8,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 11:30:00,6.1,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 11:40:00,6.1,,,36,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 11:50:00,6.2,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 12:00:00,6.5,,,39,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 12:10:00,6.5,,,39,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 12:20:00,6.6,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 12:30:00,6.7,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 12:40:00,6.8,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 12:50:00,6.8,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 13:00:00,6.7,,,39,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 13:10:00,6.8,,,38,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 13:20:00,6.7,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 13:30:00,6.7,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 13:40:00,7,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 13:50:00,6.9,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 14:00:00,6.8,,,40,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 14:10:00,6.9,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 14:20:00,6.7,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 14:30:00,6.4,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 14:40:00,6.3,,,42,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 14:50:00,6.3,,,41,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 15:00:00,6.1,,,44,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 15:10:00,6,,,44,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 15:20:00,5.8,,,44,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 15:30:00,5.6,,,45,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 15:40:00,5.4,,,46,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 15:50:00,5.1,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 16:00:00,4.8,,,46,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 16:10:00,4.4,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 16:20:00,4.1,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 16:30:00,3.9,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 16:40:00,3.7,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 16:50:00,3.5,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 17:00:00,3.5,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 17:10:00,3.5,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 17:20:00,3.5,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 17:30:00,3.4,,,46,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 17:40:00,3.4,,,46,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 17:50:00,3.3,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 18:00:00,3.1,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 18:10:00,3,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 18:20:00,2.9,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 18:30:00,2.9,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 18:40:00,2.9,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 18:50:00,2.8,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 19:00:00,2.7,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 19:10:00,2.7,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 19:20:00,2.8,,,45,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 19:30:00,2.5,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 19:40:00,2.8,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 19:50:00,2.6,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 20:00:00,2.5,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 20:10:00,2.5,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 20:20:00,2.4,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 20:30:00,2.2,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 20:40:00,2.4,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 20:50:00,2.1,,,46,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 21:00:00,1.9,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 21:10:00,1.8,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-93,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 21:20:00,1.8,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36.06},liveobjects
STATIC0209,2025-01-01 21:30:00,1.6,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 21:40:00,1.5,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 21:50:00,1.3,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 22:00:00,1.1,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 22:10:00,1,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 22:20:00,1,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 22:30:00,0.7,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 22:40:00,0.7,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 22:50:00,0.7,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 23:00:00,0.4,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 23:10:00,0.4,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 23:20:00,0.6,,,48,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 23:30:00,0.5,,,49,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 23:40:00,0.5,,,47,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-01 23:50:00,0.9,,,46,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
STATIC0209,2025-01-02 00:00:00,0.5,,,50,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":44.917752,"lon":4.15288,"batt":36},liveobjects
