station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0275,2024-04-08 10:00:00,14.9,,,87,,,,,,,,,,,,,,,,,,,,,,{"rssi":-102,"lat":49.8925,"lon":2.2783},liveobjects
STATIC0275,2024-04-08 10:10:00,15.5,,,86,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":49.8925,"lon":2.2783},liveobjects
STATIC0275,2024-04-08 10:20:00,15.9,,,87,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":49.8925,"lon":2.2783},liveobjects
STATIC0275,2024-04-08 10:40:00,16.6,,,82,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":49.8925,"lon":2.2783},liveobjects
STATIC0275,2024-04-08 10:50:00,17,,,81,,,,,,,,,,,,,,,,,,,,,,{"rssi":-102,"lat":49.8925,"lon":2.2783},liveobjects
STATIC0275,2024-04-08 11:00:00,16.9,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":49.8925,"lon":2.2783},liveobjects
STATIC0275,2024-04-08 11:10:00,16.8,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":49.8925,"lon":2.2783},liveobjects
STATIC0275,2024-04-08 11:20:00,16.9,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":49.8925,"lon":2.2783},liveobjects
STATIC0275,2024-04-08 11:30:00,17.9,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":49.8925,"lon":2.2783},liveobjects
STATIC0275,2024-04-08 11:40:00,18.1,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":49.8925,"lon":2.2783},liveobjects
STATIC0275,2024-04-08 11:50:00,18.7,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":49.8925,"lon":2.2783},liveobjects
