station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0180,2023-08-05 04:50:00,11.2,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 05:00:00,11.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 05:10:00,11.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 05:20:00,11.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 05:30:00,11.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 05:40:00,11.6,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 05:50:00,11.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 06:00:00,11.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 06:10:00,12,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 06:20:00,12.1,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":48.4871,"lon":-2.99431},liveobjects
STATIC0180,2023-08-05 06:30:00,12.2,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":48.4871,"lon":-2.99431},liveobjects
