station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0192,2024-01-02 04:20:00,2.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.36895,"lon":5.808215},liveobjects
STATIC0192,2024-01-02 04:30:00,2.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 04:40:00,2.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.36883,"lon":5.808439},liveobjects
STATIC0192,2024-01-02 05:00:00,2.6,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 05:30:00,2.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 05:50:00,2.8,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":46.368717,"lon":5.808653},liveobjects
STATIC0192,2024-01-02 06:30:00,2.8,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 06:50:00,2.8,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.36861,"lon":5.808856},liveobjects
STATIC0192,2024-01-02 07:00:00,2.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":46.368454,"lon":5.809149},liveobjects
STATIC0192,2024-01-02 07:10:00,2.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.368366,"lon":5.809308},liveobjects
STATIC0192,2024-01-02 07:20:00,2.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-121,"lat":46.368282,"lon":5.809464},liveobjects
STATIC0192,2024-01-02 07:40:00,2.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.36814,"lon":5.809731},liveobjects
STATIC0192,2024-01-02 07:50:00,3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-118,"lat":46.36802,"lon":5.809959},liveobjects
STATIC0192,2024-01-02 08:10:00,3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 08:30:00,3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.367905,"lon":5.810177},liveobjects
STATIC0192,2024-01-02 09:00:00,3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":46.36779,"lon":5.810387},liveobjects
STATIC0192,2024-01-02 09:30:00,3.3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.367683,"lon":5.810588},liveobjects
STATIC0192,2024-01-02 09:40:00,3.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":46.36758,"lon":5.810782},liveobjects
STATIC0192,2024-01-02 10:00:00,3.6,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 11:20:00,4.2,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 11:50:00,4.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":46.36751,"lon":5.810909},liveobjects
STATIC0192,2024-01-02 12:30:00,4.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.367447,"lon":5.811035},liveobjects
STATIC0192,2024-01-02 13:00:00,4.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null},liveobjects
