station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0215,2025-01-01 07:10:00,-2.4,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 07:20:00,-2.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 07:30:00,-2.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 07:40:00,-2.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 07:50:00,-2.7,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 08:00:00,-2.5,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 08:10:00,-2.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 08:20:00,-2.2,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 08:30:00,-2.1,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 08:40:00,-2,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 08:50:00,-1.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 09:00:00,-1.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 09:10:00,-1.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 09:20:00,-1,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 09:30:00,-0.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 09:50:00,0.2,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 10:00:00,0.6,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 10:10:00,0.9,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 10:20:00,1.5,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 10:30:00,1.8,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 10:40:00,3,,,85,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 10:50:00,3.5,,,86,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 11:00:00,4.1,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 11:10:00,4.4,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 11:20:00,4.3,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 11:30:00,5,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 11:40:00,5.1,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-100,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 11:50:00,5.2,,,70,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 12:00:00,6,,,70,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 12:10:00,6.9,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 12:20:00,7.1,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 12:30:00,7.3,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 12:40:00,7.9,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 12:50:00,8.2,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 13:00:00,8.2,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 13:10:00,8.3,,,57,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 13:20:00,8,,,57,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 13:30:00,8,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 13:40:00,7.5,,,55,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 13:50:00,8,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 14:10:00,7.5,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 14:20:00,7.4,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 14:30:00,7.6,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 15:00:00,7.6,,,56,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 15:20:00,7,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 15:30:00,6.9,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 15:40:00,6.4,,,62,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 15:50:00,5.9,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 16:00:00,5,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 16:10:00,4.4,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 16:20:00,4.2,,,68,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 16:30:00,5.1,,,66,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 16:40:00,4.8,,,73,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 16:50:00,4.2,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 17:00:00,3.7,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 17:10:00,4,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 17:20:00,4.8,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 17:30:00,5.8,,,64,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 17:50:00,7.2,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 18:00:00,7.3,,,57,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 18:10:00,7.8,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 18:20:00,7.8,,,61,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 18:30:00,7.7,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 18:40:00,7.6,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 18:50:00,7.6,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 19:00:00,7.6,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 19:10:00,7.9,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 19:20:00,8.2,,,58,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 19:30:00,7.8,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 19:40:00,7.9,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 19:50:00,7.7,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 20:00:00,8,,,62,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 20:10:00,8,,,62,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 20:20:00,7.9,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":49.053942,"lon":7.617872},liveobjects
STATIC0215,2025-01-01 20:30:00,7.9,,,61,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":49.053942,"lon":7.617872},liveobjects
