station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0300,2024-07-14 18:40:00,20,,,68,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 18:50:00,19.7,,,70,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 19:00:00,18.9,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 19:10:00,18.1,,,73,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 19:20:00,16.8,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 19:30:00,15.9,,,82,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 19:40:00,15.1,,,84,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 19:50:00,14.5,,,86,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 20:00:00,13.8,,,88,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 20:10:00,13,,,91,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 20:20:00,12.6,,,91,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":40.74},liveobjects
