station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UO,2024-11-21 00:10:00,1.1,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 00:20:00,1.1,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 00:30:00,1.2,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-106,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 00:40:00,1.3,,,80,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 00:50:00,1.4,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 01:00:00,1.6,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 01:10:00,1.7,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 01:20:00,1.6,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 01:30:00,1.5,,,80,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 02:00:00,3.1,,,61,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 02:10:00,3,,,62,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 02:20:00,2.8,,,60,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 02:30:00,2.5,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 02:40:00,2.4,,,59,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 02:50:00,1.6,,,74,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 03:10:00,0.4,,,76,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 03:40:00,0.8,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 03:50:00,0.3,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 04:00:00,0.1,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 04:10:00,0,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 04:20:00,-0.3,,,72,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 04:30:00,0,,,71,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 04:40:00,0.4,,,69,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 04:50:00,0,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 05:00:00,-0.3,,,82,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.85},liveobjects
